1,8,                     7.93,                     -0.53,                     3.7,-,-,-
1,12,                     7.93,                     -0.53,                     3.7,-,-,-
1,15,                     7.93,                     -0.53,                     3.7,-,-,-
1,18,                     7.93,                     -0.53,                     3.7,-,-,-
1,24,                     7.93,                     -0.53,                     3.7,-,-,-
1,27,                     7.93,                     -0.53,                     3.7,-,-,-
1,30,                     7.93,                     -0.53,                     3.7,-,-,-
1,32,                     7.93,                     -0.53,                     3.7,-,-,-
1,36,                     7.93,                     -0.53,                     3.7,-,-,-
1,42,                     7.93,                     -0.53,                     3.7,-,-,-
1,50,                     7.93,                     -0.53,                     3.7,-,-,-
1,55,                     7.93,                     -0.53,                     3.7,-,-,-
1,58,                     7.93,                     -0.53,                     3.7,-,-,-
1,59,                     7.93,                     -0.53,                     3.7,-,-,-
1,61,                     7.93,                     -0.53,                     3.7,-,-,-
2,3,                     3.49,                     -5.11,                     -0.81,-,-,-
2,9,                     3.49,                     -5.11,                     -0.81,-,-,-
2,14,                     3.49,                     -5.11,                     -0.81,-,-,-
2,23,                     3.49,                     -5.11,                     -0.81,-,-,-
2,37,                     3.49,                     -5.11,                     -0.81,-,-,-
2,46,                     3.49,                     -5.11,                     -0.81,-,-,-
2,48,                     3.49,                     -5.11,                     -0.81,-,-,-
2,51,                     3.49,                     -5.11,                     -0.81,-,-,-
2,53,                     3.49,                     -5.11,                     -0.81,-,-,-
2,57,                     3.49,                     -5.11,                     -0.81,-,-,-
3,19,                     5.45,                     -2.4,                     1.52,-,-,-
3,21,                     5.45,                     -2.4,                     1.52,-,-,-
3,22,                     5.45,                     -2.4,                     1.52,-,-,-
3,26,                     5.45,                     -2.4,                     1.52,-,-,-
3,39,                     5.45,                     -2.4,                     1.52,-,-,-
3,43,                     5.45,                     -2.4,                     1.52,-,-,-
3,44,                     5.45,                     -2.4,                     1.52,-,-,-
3,45,                     5.45,                     -2.4,                     1.52,-,-,-
3,52,                     5.45,                     -2.4,                     1.52,-,-,-
3,54,                     5.45,                     -2.4,                     1.52,-,-,-
3,64,                     5.45,                     -2.4,                     1.52,-,-,-
3,67,                     5.45,                     -2.4,                     1.52,-,-,-
4,17,                     3.59,                     -4.52,                     -0.47,-,-,-
4,29,                     3.59,                     -4.52,                     -0.47,-,-,-
4,62,                     3.59,                     -4.52,                     -0.47,-,-,-
4,66,                     3.59,                     -4.52,                     -0.47,-,-,-
4,68,                     3.59,                     -4.52,                     -0.47,-,-,-
5,1,                     1.43,                     -9.96,                     -4.26,-,-,-
5,5,                     1.43,                     -9.96,                     -4.26,-,-,-
5,20,                     1.43,                     -9.96,                     -4.26,-,-,-
5,25,                     1.43,                     -9.96,                     -4.26,-,-,-
5,31,                     1.43,                     -9.96,                     -4.26,-,-,-
5,40,                     1.43,                     -9.96,                     -4.26,-,-,-
5,41,                     1.43,                     -9.96,                     -4.26,-,-,-
5,60,                     1.43,                     -9.96,                     -4.26,-,-,-
5,63,                     1.43,                     -9.96,                     -4.26,-,-,-
5,69,                     1.43,                     -9.96,                     -4.26,-,-,-
6,2,                     -0.75,                     -11.99,                     -6.37,-,-,-
6,6,                     -0.75,                     -11.99,                     -6.37,-,-,-
6,7,                     -0.75,                     -11.99,                     -6.37,-,-,-
6,10,                     -0.75,                     -11.99,                     -6.37,-,-,-
6,33,                     -0.75,                     -11.99,                     -6.37,-,-,-
6,47,                     -0.75,                     -11.99,                     -6.37,-,-,-
6,65,                     -0.75,                     -11.99,                     -6.37,-,-,-
6,71,                     -0.75,                     -11.99,                     -6.37,-,-,-
6,72,                     -0.75,                     -11.99,                     -6.37,-,-,-
7,4,                     12.59,                     1.13,                     6.86,-,-,-
7,13,                     12.59,                     1.13,                     6.86,-,-,-
7,28,                     12.59,                     1.13,                     6.86,-,-,-
7,34,                     12.59,                     1.13,                     6.86,-,-,-
7,49,                     12.59,                     1.13,                     6.86,-,-,-
7,70,                     12.59,                     1.13,                     6.86,-,-,-
8,11,                     11.53,                     2.78,                     7.15,-,-,-
8,16,                     11.53,                     2.78,                     7.15,-,-,-
8,35,                     11.53,                     2.78,                     7.15,-,-,-
8,38,                     11.53,                     2.78,                     7.15,-,-,-
8,56,                     11.53,                     2.78,                     7.15,-,-,-
-,1,-,-,-,                     3.87,                     -7.16,                     -1.65
-,2,-,-,-,                     -7.74,                     -17.52,                     -12.63
-,3,-,-,-,                     1.72,                     -7.23,                     -2.75
-,4,-,-,-,                     13.94,                     1.71,                     7.82
-,5,-,-,-,                     1.21,                     -8.86,                     -3.83
-,6,-,-,-,                     3.7,                     -9.25,                     -2.78
-,7,-,-,-,                     2.08,                     -10.99,                     -4.45
-,8,-,-,-,                     8.98,                     0.18,                     4.58
-,9,-,-,-,                     5.93,                     -2.02,                     1.95
-,10,-,-,-,                     2.73,                     -2.73,                     -0.0
-,11,-,-,-,                     8.94,                     2.94,                     5.94
-,12,-,-,-,                     6.39,                     -1.4,                     2.5
-,13,-,-,-,                     11.91,                     -0.91,                     5.5
-,14,-,-,-,                     3.61,                     -3.16,                     0.22
-,15,-,-,-,                     10.31,                     1.35,                     5.83
-,16,-,-,-,                     10.82,                     4.6,                     7.71
-,17,-,-,-,                     4.68,                     -4.91,                     -0.12
-,18,-,-,-,                     5.62,                     -1.73,                     1.94
-,19,-,-,-,                     3.64,                     -2.68,                     0.48
-,20,-,-,-,                     3.36,                     -10.14,                     -3.39
-,21,-,-,-,                     5.73,                     -1.21,                     2.26
-,22,-,-,-,                     5.95,                     -2.01,                     1.97
-,23,-,-,-,                     8.91,                     -0.02,                     4.44
-,24,-,-,-,                     7.84,                     -0.87,                     3.48
-,25,-,-,-,                     0.55,                     -8.38,                     -3.92
-,26,-,-,-,                     3.31,                     -3.04,                     0.14
-,27,-,-,-,                     4.99,                     -1.78,                     1.6
-,28,-,-,-,                     15.19,                     3.0,                     9.1
-,29,-,-,-,                     4.28,                     -3.67,                     0.3
-,30,-,-,-,                     9.24,                     1.13,                     5.19
-,31,-,-,-,                     -2.28,                     -14.81,                     -8.55
-,32,-,-,-,                     9.57,                     -0.96,                     4.3
-,33,-,-,-,                     -5.35,                     -20.31,                     -12.83
-,34,-,-,-,                     15.15,                     3.77,                     9.46
-,35,-,-,-,                     10.28,                     5.13,                     7.7
-,36,-,-,-,                     7.59,                     -0.15,                     3.72
-,37,-,-,-,                     -0.83,                     -10.69,                     -5.76
-,38,-,-,-,                     11.97,                     1.94,                     6.95
-,39,-,-,-,                     6.73,                     -1.62,                     2.55
-,40,-,-,-,                     0.16,                     -8.35,                     -4.1
-,41,-,-,-,                     1.96,                     -6.94,                     -2.49
-,42,-,-,-,                     9.08,                     -0.21,                     4.44
-,43,-,-,-,                     6.19,                     -5.34,                     0.42
